Symbol,Price,Timestamp
BTCUSDT,110116.61000000,2025-08-26T11:10:14.126Z
ETHUSDT,4455.23000000,2025-08-26T11:10:14.127Z
BNBUSDT,844.15000000,2025-08-26T11:10:14.127Z
